"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"plan","cons","combo","combo","cons",0.00339204777798751,0.00266500538211513
"cons","cons","combo","combo","cons",0.00278807508648566,0.00257641790278736
"combo","cons","combo","combo","cons",0.00194592057274679,0.00255529104062863
"plan","combo","combo","combo","cons",0.00336878067566805,0.00230703848725877
"cons","combo","combo","combo","cons",0.00276480798416624,0.00225609896589864
"combo","combo","combo","combo","cons",0.00192265347042734,0.00207907844927984
"plan","plan","plan","plan","combo",0.00118283501124435,0.00205015361420453
"cons","plan","plan","plan","combo",0.00057886231974258,0.00222854414757905
"combo","plan","plan","plan","combo",-0.000263292193996373,0.00223551885563469
"plan","cons","plan","plan","combo",-0.00120707820044461,0.00255593211261666
"cons","cons","plan","plan","combo",-0.00181105089194642,0.00260948842622296
"combo","cons","plan","plan","combo",-0.00265320540568535,0.00265940704329293
"plan","combo","plan","plan","combo",-0.00123034530276407,0.00254604067657017
"cons","combo","plan","plan","combo",-0.00183431799426586,0.00264402050827363
"combo","combo","plan","plan","combo",-0.0026764725080048,0.00256804633628625
"plan","plan","cons","plan","combo",-0.00149959926765191,0.00260488900579201
"cons","plan","cons","plan","combo",-0.00210357195915371,0.002637434730929
"combo","plan","cons","plan","combo",-0.00294572647289263,0.00269634651913605
"plan","cons","cons","plan","combo",-0.00388951247934092,0.002598173626569
"cons","cons","cons","plan","combo",-0.00449348517084271,0.00253662829906684
"combo","cons","cons","plan","combo",-0.00533563968458163,0.00264207989245375
"plan","combo","cons","plan","combo",-0.00391277958166036,0.00279851719001577
"cons","combo","cons","plan","combo",-0.00451675227316215,0.00278344316194473
"combo","combo","cons","plan","combo",-0.00535890678690106,0.00276308892873098
"plan","plan","combo","plan","combo",0.0025270730517662,0.00256886345531943
"cons","plan","combo","plan","combo",0.00192310036026444,0.0026557036232696
"combo","plan","combo","plan","combo",0.00108094584652545,0.00255396339003911
"plan","cons","combo","plan","combo",0.000137159840077229,0.0027741263525565
"cons","cons","combo","plan","combo",-0.000466812851424562,0.00276818370216531
"combo","cons","combo","plan","combo",-0.00130896736516353,0.00271379599658514
"plan","combo","combo","plan","combo",0.000113892737757758,0.00227549647036927
"cons","combo","combo","plan","combo",-0.000490079953744006,0.00231879895954421
"combo","combo","combo","plan","combo",-0.00133223446748297,0.00210230299403973
"plan","plan","plan","cons","combo",0.00366767213283425,0.00253786596025371
"cons","plan","plan","cons","combo",0.00306369944133244,0.00260106115430992
"combo","plan","plan","cons","combo",0.00222154492759353,0.00264909606740565
"plan","cons","plan","cons","combo",0.00127775892114523,0.00264710704858601
"cons","cons","plan","cons","combo",0.000673786229643438,0.0026163510714988
"combo","cons","plan","cons","combo",-0.000168368284095516,0.00270727985519636
"plan","combo","plan","cons","combo",0.00125449181882581,0.00280169498743486
"cons","combo","plan","cons","combo",0.000650519127323974,0.00281415927843679
"combo","combo","plan","cons","combo",-0.000191635386414923,0.00278290590772455
"plan","plan","cons","cons","combo",0.000985237853937989,0.00262233394719841
"cons","plan","cons","cons","combo",0.00038126516243617,0.002570744421061
"combo","plan","cons","cons","combo",-0.000460889351302741,0.00267282711364904
"plan","cons","cons","cons","combo",-0.001404675357751,0.00225354116091141
"cons","cons","cons","cons","combo",-0.00200864804925283,0.00207939919643213
"combo","cons","cons","cons","combo",-0.00285080256299173,0.00225633759847653
"plan","combo","cons","cons","combo",-0.00142794246007044,0.0026556402140418
"cons","combo","cons","cons","combo",-0.00203191515157226,0.00255533924162169
