"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"cons","cons","cons","combo","plan",-0.00433375388420219,0.0025506398133838
"combo","cons","cons","combo","plan",-0.00517864688977873,0.00265097751452445
"control","cons","cons","combo","plan",9.62755058142444e-05,0.00259698427749483
"plan","combo","cons","combo","plan",-0.0037673365305616,0.00279250962691799
"cons","combo","cons","combo","plan",-0.00436857202625911,0.00277523756335299
"combo","combo","cons","combo","plan",-0.00521346503183564,0.0027504296791153
"control","combo","cons","combo","plan",6.14573637573185e-05,0.00277644142272931
"plan","control","cons","combo","plan",-0.00464790615399966,0.00265673754334592
"cons","control","cons","combo","plan",-0.00524914164969716,0.00263857686847276
"combo","control","cons","combo","plan",-0.00609403465527371,0.00269297712144015
"control","control","cons","combo","plan",-0.000819112259680719,0.002621021451119
"plan","plan","combo","combo","plan",0.00265833510154236,0.00256804652526519
"cons","plan","combo","combo","plan",0.00205709960584481,0.00265264799439182
"combo","plan","combo","combo","plan",0.00121220660026831,0.00254604083619602
"control","plan","combo","combo","plan",0.00648712899586127,0.00260002649367183
"plan","cons","combo","combo","plan",0.000279965393919476,0.00276266728499161
"cons","cons","combo","combo","plan",-0.000321270101778058,0.00275451822651454
"combo","cons","combo","combo","plan",-0.00116616310735456,0.00269537263783001
"control","cons","combo","combo","plan",0.0041087592882384,0.00274642449103929
"plan","combo","combo","combo","plan",0.000245147251862496,0.00223551896917791
"cons","combo","combo","combo","plan",-0.000356088243835039,0.00227694216732161
"combo","combo","combo","combo","plan",-0.00120098124941155,0.00205015369953239
"control","combo","combo","combo","plan",0.00407394114618142,0.00221541463815958
"plan","control","combo","combo","plan",-0.000635422371575518,0.00259328294157784
"cons","control","combo","combo","plan",-0.00123665786727305,0.00262907531022822
"combo","control","combo","combo","plan",-0.00208155087284956,0.00252147170205783
"control","control","combo","combo","plan",0.00319337152274342,0.00255668056043004
"plan","plan","control","combo","plan",-0.00144251796320932,0.00242860778214387
"cons","plan","control","combo","plan",-0.00204375345890687,0.00251789876399233
"combo","plan","control","combo","plan",-0.00288864646448339,0.00251927866984133
"control","plan","control","combo","plan",0.00238627593110962,0.00243740588791024
"plan","cons","control","combo","plan",-0.00382088767083221,0.00263355336591573
"cons","cons","control","combo","plan",-0.00442212316652974,0.00262500351690507
"combo","cons","control","combo","plan",-0.00526701617210626,0.00267010762582756
"control","cons","control","combo","plan",7.90622348675125e-06,0.00259300157724682
"plan","combo","control","combo","plan",-0.00385570581288915,0.00260158506700198
"cons","combo","control","combo","plan",-0.00445694130858668,0.00263726476346625
"combo","combo","control","combo","plan",-0.00530183431416319,0.00255636426672264
"control","combo","control","combo","plan",-2.69119185701886e-05,0.00256052703741361
"plan","control","control","combo","plan",-0.00473627543632723,0.0023530176240449
"cons","control","control","combo","plan",-0.00533751093202476,0.00239240726274581
"combo","control","control","combo","plan",-0.00618240393760128,0.002393859507457
"control","control","control","combo","plan",-0.000907481542008271,0.00228598510562274
"plan","plan","plan","control","plan",-0.00945534445586163,0.00142410194758469
"cons","plan","plan","control","plan",-0.0100565799515592,0.00166712977198542
"combo","plan","plan","control","plan",-0.0109014729571357,0.00178451904293885
"control","plan","plan","control","plan",-0.00562655056154273,0.00155353498154725
"plan","cons","plan","control","plan",-0.0118337141634845,0.0020732765091389
"cons","cons","plan","control","plan",-0.0124349496591821,0.00213613962775994
"combo","cons","plan","control","plan",-0.0132798426647586,0.00228038581963508
"control","cons","plan","control","plan",-0.00800492026916559,0.00210454798250655
"plan","combo","plan","control","plan",-0.0118685323055415,0.00242620797141652
"cons","combo","plan","control","plan",-0.012469767801239,0.0025264565275578
"combo","combo","plan","control","plan",-0.0133146608068155,0.00252211243297419
"control","combo","plan","control","plan",-0.00803973841122255,0.00245298427387749
"plan","control","plan","control","plan",-0.0127491019289796,0.00174050151071117
"cons","control","plan","control","plan",-0.0133503374246771,0.00187772281603601
"combo","control","plan","control","plan",-0.0141952304302536,0.00198268240316836
"control","control","plan","control","plan",-0.00892030803466059,0.00174956404618345
"plan","plan","cons","control","plan",-0.0121235993124175,0.00212987999028215
"cons","plan","cons","control","plan",-0.012724834808115,0.00216679028613095
"combo","plan","cons","control","plan",-0.0135697278136915,0.0023201839877906
"control","plan","cons","control","plan",-0.00829480541809856,0.00214760714784606
"plan","cons","cons","control","plan",-0.0145019690200404,0.00210765230483361
"cons","cons","cons","control","plan",-0.0151032045157379,0.00202833708134303
"combo","cons","cons","control","plan",-0.0159480975213144,0.00224372577375549
"control","cons","cons","control","plan",-0.0106731751257214,0.00206476828532751
"plan","combo","cons","control","plan",-0.0145367871620973,0.00267616628441854
"cons","combo","cons","control","plan",-0.0151380226577948,0.00265813835201901
"combo","combo","cons","control","plan",-0.0159829156633714,0.00270681641279106
"control","combo","cons","control","plan",-0.0107079932677784,0.00264252451566346
"plan","control","cons","control","plan",-0.0154173567855354,0.00207478345137061
"cons","control","cons","control","plan",-0.0160185922812329,0.00205147748871323
"combo","control","cons","control","plan",-0.0168634852868094,0.00221287900252715
"control","control","cons","control","plan",-0.0115885628912164,0.00200668341292041
"plan","plan","combo","control","plan",-0.00811111552999337,0.00255110294343618
"cons","plan","combo","control","plan",-0.00871235102569091,0.00263624821559599
"combo","plan","combo","control","plan",-0.00955724403126741,0.00260649629177325
"control","plan","combo","control","plan",-0.00428232163567445,0.00256592165049596
"plan","cons","combo","control","plan",-0.0104894852376163,0.00274692442554305
"cons","cons","combo","control","plan",-0.0110907207333138,0.00273872852475066
"combo","cons","combo","control","plan",-0.0119356137388903,0.00275255020593861
"control","cons","combo","control","plan",-0.00666069134329732,0.00271415983937367
"plan","combo","combo","control","plan",-0.0105243033796732,0.00258189396395992
"cons","combo","combo","control","plan",-0.0111255388753708,0.00261784205270403
"combo","combo","combo","control","plan",-0.0119704318809473,0.00250399626170899
"control","combo","combo","control","plan",-0.00669550948535429,0.00254700731745249
"plan","control","combo","control","plan",-0.0114048730031113,0.002505287174175
"cons","control","combo","control","plan",-0.0120061084988088,0.00254231870481628
"combo","control","combo","control","plan",-0.0128510015043853,0.00251145429216886
"control","control","combo","control","plan",-0.00757607910879232,0.00244918675782276
"plan","plan","control","control","plan",-0.012211968594745,0.00174900346598843
"cons","plan","control","control","plan",-0.0128132040904426,0.00187101350884055
"combo","plan","control","control","plan",-0.0136580970960191,0.00197632944830438
"control","plan","control","control","plan",-0.00838317470042609,0.00173562026479746
"plan","cons","control","control","plan",-0.0145903383023679,0.00202397645630473
"cons","cons","control","control","plan",-0.0151915737980655,0.00201283899711669
"combo","cons","control","control","plan",-0.016036466803642,0.0021653147127889
"control","cons","control","control","plan",-0.010761544408049,0.00194809841146709
"plan","combo","control","control","plan",-0.0146251564444249,0.00238421692236544
"cons","combo","control","control","plan",-0.0152263919401224,0.00242309944176188
"combo","combo","control","control","plan",-0.0160712849456989,0.002418569710302
"control","combo","control","control","plan",-0.0107963625501059,0.00232015022314903
"plan","control","control","control","plan",-0.0155057260678629,0.00152828447664061
"cons","control","control","control","plan",-0.0161069615635605,0.00158826131770362
"combo","control","control","control","plan",-0.016951854569137,0.00171107000186576
"control","control","control","control","plan",-0.011676932173544,0.00139112985814054
"plan","plan","plan","plan","cons",0.00315247479088183,0.00167816077020335
"cons","plan","plan","plan","cons",0.00255123929518434,0.00183455243876281
"combo","plan","plan","plan","cons",0.00170634628960779,0.00199616865131524
"control","plan","plan","plan","cons",0.00698126868520077,0.00181744302033571
"plan","cons","plan","plan","cons",0.000774105083258972,0.00207145464157904
"cons","cons","plan","plan","cons",0.000172869587561398,0.0020865390287397
"combo","cons","plan","plan","cons",-0.000672023418015094,0.00228136629928476
"control","cons","plan","plan","cons",0.00460289897757788,0.00212674446964968
"plan","combo","plan","plan","cons",0.000739286941202005,0.00259497443731852
"cons","combo","plan","plan","cons",0.000138051445504486,0.0026511306183978
"combo","combo","plan","plan","cons",-0.000706841560072062,0.0026870954934058
"control","combo","plan","plan","cons",0.00456808083552091,0.00263931999526445
"plan","control","plan","plan","cons",-0.000141282682236022,0.00205880270561177
"cons","control","plan","plan","cons",-0.000742518177933541,0.00212914767127697
"combo","control","plan","plan","cons",-0.00158741118351009,0.00226988467549064
"control","control","plan","plan","cons",0.0036875112120829,0.00209087742426122
"plan","plan","cons","plan","cons",0.000484219934325983,0.0020871738941875
"cons","plan","cons","plan","cons",-0.000117015561371565,0.00207677393956117
"combo","plan","cons","plan","cons",-0.000961908566948083,0.00228367766664227
"control","plan","cons","plan","cons",0.00431301382864489,0.00212922369252128
"plan","cons","cons","plan","cons",-0.00189414977329691,0.0018618259759927
"cons","cons","cons","plan","cons",-0.00249538526899445,0.00171360812403458
"combo","cons","cons","plan","cons",-0.00334027827457093,0.00201755469094959
"control","cons","cons","plan","cons",0.00193464412102204,0.00184090651002325
"plan","combo","cons","plan","cons",-0.00192896791535386,0.00265349242879427
"cons","combo","cons","plan","cons",-0.00253020341105136,0.00259672088347589
"combo","combo","cons","plan","cons",-0.00337509641662788,0.00268664010182093
"control","combo","cons","plan","cons",0.00189982597896509,0.00263885635899974
"plan","control","cons","plan","cons",-0.00280953753879188,0.00213208778430118
"cons","control","cons","plan","cons",-0.00341077303448939,0.00206100354123363
"combo","control","cons","plan","cons",-0.00425566604006591,0.00226934556338559
"control","control","cons","plan","cons",0.00101925635552709,0.00209029214448982
"plan","plan","combo","plan","cons",0.00449670371675008,0.00271482557751214
"cons","plan","combo","plan","cons",0.00389546822105256,0.00275863373845349
"combo","plan","combo","plan","cons",0.00305057521547604,0.00276911510480883
"control","plan","combo","plan","cons",0.00832549761106899,0.00274728531181788
"plan","cons","combo","plan","cons",0.00211833400912721,0.00275899204840964
"cons","cons","combo","plan","cons",0.00151709851342968,0.00271388669922326
"combo","cons","combo","plan","cons",0.000672205507853214,0.00276676703321812
"control","cons","combo","plan","cons",0.00594712790344616,0.00274491856654299
"plan","combo","combo","plan","cons",0.00208351586707024,0.00275455588537872
"cons","combo","combo","plan","cons",0.00148228037137277,0.00275183619749486
"combo","combo","combo","plan","cons",0.000637387365796218,0.00268391930198018
"control","combo","combo","plan","cons",0.00591230976138919,0.00274045962193194
"plan","control","combo","plan","cons",0.00120294624363222,0.00274950565951456
"cons","control","combo","plan","cons",0.000601710747934739,0.00274678097122269
"combo","control","combo","plan","cons",-0.00024318225764178,0.00275730739392937
"control","control","combo","plan","cons",0.00503174013795118,0.00271722363839493
"plan","plan","control","plan","cons",0.000395850651998424,0.00209013762841775
"cons","plan","control","plan","cons",-0.000205384843699095,0.00214673181658714
"combo","plan","control","plan","cons",-0.00105027784927564,0.00228638669657402
"control","plan","control","plan","cons",0.00422464454631737,0.00210321441251357
"plan","cons","control","plan","cons",-0.00198251905562445,0.00214719223932122
"cons","cons","control","plan","cons",-0.00258375455132198,0.00208891799878181
"combo","cons","control","plan","cons",-0.00342864755689847,0.00228354230937218
"control","cons","control","plan","cons",0.00184627483869454,0.00210012195298915
"plan","combo","control","plan","cons",-0.00201733719768142,0.00265582426203589
"cons","combo","control","plan","cons",-0.00261857269337889,0.00265300336279223
"combo","combo","control","plan","cons",-0.00346346569895544,0.00268894318977964
"control","combo","control","plan","cons",0.00181145669663757,0.00261791524225751
"plan","control","control","plan","cons",-0.00289790682111947,0.00201655187920876
"cons","control","control","plan","cons",-0.00349914231681695,0.00201283526740486
"combo","control","control","plan","cons",-0.00434403532239349,0.00216115997733438
"control","control","control","plan","cons",0.000930887073199519,0.00194101553367066
"plan","plan","plan","cons","cons",0.00564786005987631,0.0020568687449083
"cons","plan","plan","cons","cons",0.00504662456417878,0.00208363730866827
"combo","plan","plan","cons","cons",0.00420173155860228,0.00227633617413863
"control","plan","plan","cons","cons",0.00947665395419526,0.00212134773796409
"plan","cons","plan","cons","cons",0.00326949035225339,0.00198548804258313
"cons","cons","plan","cons","cons",0.00266825485655584,0.00188848083759087
"combo","cons","plan","cons","cons",0.00182336185097936,0.00215369502406927
"control","cons","plan","cons","cons",0.00709828424657233,0.00198917372403066
"plan","combo","plan","cons","cons",0.00323467221019647,0.00269776123460858
"cons","combo","plan","cons","cons",0.00263343671449892,0.00267095361711865
"combo","combo","plan","cons","cons",0.00178854370892243,0.00274718713766814
"control","combo","plan","cons","cons",0.00706346610451541,0.00270047496120409
"plan","control","plan","cons","cons",0.00235410258675844,0.00218693665414767
"cons","control","plan","cons","cons",0.0017528670910609,0.00215378027549168
"combo","control","plan","cons","cons",0.000907974085484404,0.00234071173336546
"control","control","plan","cons","cons",0.0061828964810774,0.0021675616212631
"plan","plan","cons","cons","cons",0.00297960520332043,0.00190376866647802
"cons","plan","cons","cons","cons",0.0023783697076229,0.00177271164809698
"combo","plan","cons","cons","cons",0.00153347670204638,0.00206537056870519
"control","plan","cons","cons","cons",0.00680839909763936,0.00189318922291114
"plan","cons","cons","cons","cons",0.000601235495697549,0.00098548932401976
"cons","cons","cons","cons","cons",0,5.21762973553345e-05
"combo","cons","cons","cons","cons",-0.00084489300557649,0.00116526898350369
